feature,importance
return_lag3,0.05474072531390114
return,0.052891238221965904
roc5,0.0472659854265932
return_5d,0.046085909992214534
obv,0.04462893313750923
return_lag1,0.04258613384735256
ma20_ratio,0.03930394534467949
return_20d,0.03926321700690586
day_of_week,0.038737696643909636
bb_width,0.037633674898886506
roc10,0.03616885760750238
atr14_pct,0.034955784482046406
obv_ratio,0.03235657863428095
bb_width_lag1,0.031947001895454276
open,0.030419266154783936
stoch_k,0.02992562040569384
rsi14,0.029915960953423096
volume,0.029104188107007153
rsi14_lag1,0.029024359984025812
vol_regime,0.02891164172063854
52w_low_ratio,0.028147397560302323
high,0.026796361656303246
ma20,0.026058360519679597
52w_high_ratio,0.026028824154982495
signal,0.025384695693661873
close,0.024285261767091205
low,0.0239718248858431
adj_close,0.02390595182714661
volume_change,0.022420363301255335
month,0.011628620921458761
quarter,0.004676456038394809
ma_cross,0.0008291618951060776
