date,open,high,low,close,adj_close,volume,ma20,ma_cross,return,volume_change,rsi14,bb_width,signal,target,return_lag1,return_lag3,52w_high_ratio,52w_low_ratio,ma20_ratio,roc5,roc10,obv,obv_ratio,stoch_k,return_5d,return_20d,vol_regime,rsi14_lag1,bb_width_lag1,day_of_week,month,quarter,atr14_pct
2011-01-28,12.291786193847656,12.300000190734863,11.911786079406738,12.003570556640623,10.114455223083496,592057200,10.157853507995608,1,-0.0207163603485682,0.7310228476602604,49.98337609545258,0.0802465341685447,0.1405169738874561,1,-0.0018615095166654,0.0117052557952717,0.9644736777491036,1.7500643540993561,0.9957276126419867,0.028709319726069937,-0.027713592414134958,12108334000.0,0.8728901688284789,-189.35937691858697,0.028709319726069937,0.03843525655505364,0.014401820571697251,58.479278216971466,0.0884313068425552,4,1,1,0.07980095749721261
2011-01-31,11.992856979370115,12.144286155700684,11.939286231994627,12.118571281433104,10.2113618850708,377246800,10.18307204246521,1,0.0095810065742485,0.0,47.27869546218729,0.0683871277808032,0.1348247034734635,1,-0.0207163603485682,0.007176538502988,0.9737143063963074,1.76683173218134,1.0027781245666945,0.005541688551844448,-0.026285693603692595,12485580800.0,0.9048913608979512,-177.3532472228619,0.005541688551844448,0.05195952888229871,0.014438815451338993,49.98337609545258,0.0802465341685447,0,1,1,0.07904363986402287
2011-02-01,12.189286231994627,12.344642639160156,12.177857398986816,12.322500228881836,10.383193969726562,426633200,10.206334400177004,1,0.0168275384409775,0.1230250124958905,52.7158423247007,0.0657535711176034,0.131720602302741,0,0.0095810065742485,-0.0018615095166654,0.990099521317721,1.7965631610733603,1.0173284122012003,0.010632764941236106,0.012857888948489604,12912214000.0,0.9408980091025739,-156.0643259871459,0.010632764941236106,0.046909623825485136,0.01413585177299865,47.27869546218729,0.0683871277808032,1,2,1,0.07773554204207955
2011-02-02,12.301786422729492,12.33035659790039,12.26964282989502,12.29714298248291,10.361828804016112,258955200,10.225940465927124,1,-0.0020576679750704,0.0,49.91715111164554,0.0631574222973448,0.1297603509476992,0,0.0168275384409775,-0.0207163603485682,0.988062225240573,1.7928664305916284,1.0132885907698923,0.0013668703654650116,0.01617275403979801,12653258800.0,0.9290003333716287,-158.7113364736276,0.0013668703654650116,0.03933127581070406,0.0141528306000328,52.7158423247007,0.0657535711176034,2,2,1,0.0778958257881956
2011-02-03,12.278571128845217,12.294285774230955,12.091071128845217,12.265713691711426,10.335346221923828,393797600,10.240144777297974,1,-0.0025557826319249,0.4191819979572441,48.13218884392371,0.0616155575705339,0.1279015378946104,1,-0.0020576679750704,0.0095810065742485,0.9855369529660422,1.7692153734088336,1.0092968846335955,0.0006703516927208941,0.03234355046524717,12259461200.0,0.9091293603597266,-161.99236286291026,0.0006703516927208941,0.028263742811572845,0.014110657581889556,49.91715111164554,0.0631574222973448,3,2,1,0.07809542070807415
2011-02-04,12.272856712341309,12.382143020629885,12.268214225769045,12.375,10.4274320602417,321840400,10.25935950279236,1,0.0089097971505331,0.0,48.35595194179376,0.0607725809855846,0.1273814087463007,1,-0.0025557826319249,0.0168275384409775,0.9943178873013241,1.7849787235015113,1.0163823635777256,0.03094351897904679,0.06054120608493596,12581301600.0,0.9402719608185175,-150.58350308680147,0.03094351897904679,0.03826438779324981,0.01419446253524313,48.13218884392371,0.0616155575705339,4,2,1,0.0774057511668925
2011-02-07,12.424642562866213,12.616070747375488,12.415714263916016,12.567143440246582,10.589335441589355,485021600,10.28307318687439,1,0.0155266781324781,0.41013765553390324,59.71958838440501,0.0654830942424507,0.1300203526562687,1,0.0089097971505331,-0.0020576679750704,1.0,1.8034031963780315,1.0297831445083838,0.03701499964183608,0.04276181379344224,13066323200.0,0.9835542387478947,-113.18031049700112,0.03701499964183608,0.04688786810166046,0.014475794300244878,48.35595194179376,0.0607725809855846,0,2,1,0.08978033763990691
2011-02-08,12.631428718566896,12.697142601013184,12.576786041259766,12.685713768005373,10.689245223999023,381040800,10.302257585525512,1,0.0094349435770326,0.0,63.79878478403347,0.0742873688105318,0.1357986640989083,1,0.0155266781324781,-0.0025557826319249,1.0,1.8204182037824987,1.0375633821287116,0.02947563679969667,0.04042180925851713,13447364000.0,1.0198417719832278,-94.60405895521843,0.02947563679969667,0.03723117185012992,0.014060640043524503,59.71958838440501,0.0654830942424507,1,2,1,0.09652561461021587
2011-02-09,12.685357093811035,12.821429252624512,12.67392921447754,12.791428565979004,10.778318405151367,482745200,10.327114582061768,1,0.0083329719999649,0.2365825222169824,72.71740420313843,0.0847378463237273,0.1443533596144346,0,0.0094349435770326,0.0089097971505331,1.0,1.8175164228625995,1.0436911800972308,0.04019460357942117,0.041616414757370546,13930109200.0,1.0606941603615645,-76.72859044524753,0.04019460357942117,0.0483543722114832,0.014092360829613942,63.79878478403347,0.0742873688105318,2,2,1,0.10725908932367571
2011-02-10,12.76392936706543,12.85714340209961,12.428570747375488,12.662142753601074,10.669384002685549,928550000,10.342341899871826,1,-0.010106808722013,0.6541352514145674,75.88392639165563,0.08963228018519,0.1521327923301948,1,0.0083329719999649,0.0155266781324781,0.9898931912779869,1.7991471320276098,1.031621668088325,0.032319941063333024,0.033011958483254444,13001559200.0,0.9986809575070534,-84.06621727414222,0.032319941063333024,0.02938264607593455,0.014294430324726453,72.71740420313843,0.0847378463237273,3,2,1,0.11140023919210985
