feature,importance
return,232
return_lag1,230
volume,227
return_lag3,224
roc5,200
obv,191
roc10,190
obv_ratio,190
vol_regime,185
atr14_pct,174
bb_width,171
signal,169
rsi14_lag1,163
52w_low_ratio,161
52w_high_ratio,161
return_20d,158
stoch_k,157
bb_width_lag1,150
rsi14,149
volume_change,137
ma20_ratio,110
day_of_week,109
month,92
ma20,85
open,53
high,43
return_5d,39
close,24
low,15
adj_close,14
quarter,8
ma_cross,0
