epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4959259331226349,0.49319887161254883,9.999999747378752e-05,0.9450720548629761,0.5250181555747986,0.5062937140464783,0.5096774101257324,0.4934602379798889,0.9751031398773193,0.5066079497337341,0.9829059839248657
1,0.4977777898311615,0.5028536319732666,9.999999747378752e-05,0.9328975677490234,0.5276119112968445,0.494405597448349,0.49247312545776367,0.5022847652435303,0.9652734994888306,0.4970414340496063,0.7179487347602844
2,0.5111111402511597,0.5167215466499329,9.999999747378752e-05,0.9222491383552551,0.5406203866004944,0.5118880867958069,0.5075268745422363,0.5124412775039673,0.956096351146698,0.5136612057685852,0.4017094075679779
3,0.4977777898311615,0.5069462060928345,9.999999747378752e-05,0.9138706922531128,0.5272058844566345,0.5013986229896545,0.5032258033752441,0.5096848011016846,0.9470759630203247,0.5087719559669495,0.3717948794364929
4,0.5240740776062012,0.5336432456970215,9.999999747378752e-05,0.9011766910552979,0.5542258620262146,0.5181818008422852,0.5118279457092285,0.5197765231132507,0.9392498731613159,0.5327102541923523,0.24358974397182465
5,0.5266666412353516,0.5397915840148926,9.999999747378752e-05,0.8929262757301331,0.5581929683685303,0.5097901821136475,0.5032258033752441,0.5268250107765198,0.9316299557685852,0.5211267471313477,0.15811966359615326
6,0.5188888907432556,0.5379295945167542,9.999999747378752e-05,0.8847124576568604,0.5477057695388794,0.525874137878418,0.5053763389587402,0.5332167744636536,0.9247327446937561,0.529411792755127,0.1538461595773697
7,0.5207407474517822,0.5295963883399963,9.999999747378752e-05,0.8803698420524597,0.5485021471977234,0.5377622246742249,0.5118279457092285,0.5413937568664551,0.9162479639053345,0.5284552574157715,0.2777777910232544
8,0.5225926041603088,0.5405564308166504,9.999999747378752e-05,0.8714320063591003,0.552029550075531,0.5230769515037537,0.522580623626709,0.5438080430030823,0.9095460176467896,0.5410959124565125,0.33760684728622437
9,0.537407398223877,0.547068178653717,9.999999747378752e-05,0.8640348315238953,0.5659140348434448,0.5433566570281982,0.522580623626709,0.5470455288887024,0.9044557213783264,0.5416666865348816,0.3333333432674408
10,0.5385185480117798,0.5456236004829407,9.999999747378752e-05,0.8573275804519653,0.5662823915481567,0.5496503710746765,0.5139784812927246,0.5426055788993835,0.9000296592712402,0.5263158082962036,0.34188035130500793
11,0.5351851582527161,0.5555263757705688,9.999999747378752e-05,0.8494426608085632,0.5637290477752686,0.5412587523460388,0.5204300880432129,0.5417082905769348,0.8977024555206299,0.5440000295639038,0.2905983030796051
12,0.521481454372406,0.5418487787246704,9.999999747378752e-05,0.8468714952468872,0.54758620262146,0.5552447438240051,0.5247311592102051,0.5436230301856995,0.8907579779624939,0.5419355034828186,0.3589743673801422
13,0.5388888716697693,0.5568418502807617,9.999999747378752e-05,0.8394315838813782,0.5669804215431213,0.5475524663925171,0.5311827659606934,0.5454268455505371,0.8874282240867615,0.5540540814399719,0.3504273593425751
14,0.5388888716697693,0.5635069608688354,9.999999747378752e-05,0.8315356373786926,0.5688756704330444,0.5342657566070557,0.5311827659606934,0.54947829246521,0.885004997253418,0.5615384578704834,0.31196582317352295
15,0.5648148059844971,0.5877971649169922,9.999999747378752e-05,0.8236780166625977,0.5989139080047607,0.5398601293563843,0.5118279457092285,0.5478318333625793,0.8845755457878113,0.5289255976676941,0.2735042870044708
16,0.5570370554924011,0.5797086954116821,9.999999747378752e-05,0.8209139108657837,0.5945072770118713,0.514685332775116,0.5139784812927246,0.5457689762115479,0.8789785504341125,0.5277777910232544,0.32478633522987366
17,0.550000011920929,0.5783277153968811,9.999999747378752e-05,0.8171029686927795,0.5808879137039185,0.5398601293563843,0.5268816947937012,0.5441780686378479,0.8772748112678528,0.5486111044883728,0.33760684728622437
18,0.5522222518920898,0.5756040811538696,9.999999747378752e-05,0.812955915927887,0.5846743583679199,0.533566415309906,0.5096774101257324,0.543151319026947,0.8754264116287231,0.5267857313156128,0.252136766910553
19,0.5507407188415527,0.5785948038101196,9.999999747378752e-05,0.8076262474060059,0.5843045711517334,0.525874137878418,0.5182795524597168,0.5426332950592041,0.8758543729782104,0.5520833134651184,0.22649572789669037
20,0.5607407689094543,0.5814234018325806,9.999999747378752e-05,0.8041791319847107,0.5922844409942627,0.5475524663925171,0.5268816947937012,0.5400987863540649,0.8744817972183228,0.5853658318519592,0.20512820780277252
21,0.5611110925674438,0.5868682861328125,9.999999747378752e-05,0.7998973727226257,0.5920360684394836,0.5510489344596863,0.5204300880432129,0.5376290082931519,0.8744428157806396,0.5873016119003296,0.15811966359615326
22,0.5651851892471313,0.588105320930481,9.999999747378752e-05,0.7959674000740051,0.5995334386825562,0.5391608476638794,0.5161290168762207,0.53428053855896,0.8791602849960327,0.581818163394928,0.1367521435022354
23,0.5629629492759705,0.584336519241333,9.999999747378752e-05,0.7941671013832092,0.59765625,0.5349650382995605,0.5053763389587402,0.5357605218887329,0.8837741613388062,0.550000011920929,0.09401709586381912
24,0.5718518495559692,0.5994449853897095,9.999999747378752e-05,0.7868767976760864,0.6057098507881165,0.5489510297775269,0.5139784812927246,0.5364450216293335,0.8835434317588806,0.5769230723381042,0.12820513546466827
25,0.5633333325386047,0.5862805247306824,9.999999747378752e-05,0.7875933051109314,0.5931699872016907,0.5587412714958191,0.5247311592102051,0.5300533175468445,0.8725981712341309,0.5866666436195374,0.18803419172763824
26,0.5622222423553467,0.5895960927009583,9.999999747378752e-05,0.7842651605606079,0.5943683385848999,0.5461538434028625,0.5204300880432129,0.531958818435669,0.8723445534706116,0.5714285969734192,0.18803419172763824
27,0.5644444227218628,0.5901162028312683,9.999999747378752e-05,0.7819888591766357,0.5949177742004395,0.5566433668136597,0.5268816947937012,0.5340770483016968,0.8778958320617676,0.6060606241226196,0.17094017565250397
28,0.567037045955658,0.5974571704864502,9.999999747378752e-05,0.775013267993927,0.5968819856643677,0.5622377395629883,0.5053763389587402,0.5309875011444092,0.8706981539726257,0.53125,0.14529915153980255
29,0.5648148059844971,0.5943197011947632,9.999999747378752e-05,0.7730348706245422,0.597105860710144,0.548251748085022,0.5139784812927246,0.5337070226669312,0.8697696328163147,0.5740740895271301,0.13247863948345184
30,0.567037045955658,0.6007782816886902,9.999999747378752e-05,0.7712605595588684,0.5984905958175659,0.5545454621315002,0.5075268745422363,0.5394513010978699,0.8635197877883911,0.5362318754196167,0.15811966359615326
31,0.5751851797103882,0.6083868741989136,9.999999747378752e-05,0.7669863104820251,0.6048924922943115,0.570629358291626,0.5182795524597168,0.5366855263710022,0.8624408841133118,0.5833333134651184,0.14957265555858612
32,0.5833333134651184,0.6115607619285583,9.999999747378752e-05,0.7648878693580627,0.6168582439422607,0.5629370808601379,0.5139784812927246,0.5383782982826233,0.876481294631958,0.5952380895614624,0.10683760792016983
33,0.5822222232818604,0.6152037382125854,9.999999747378752e-05,0.7604244351387024,0.6118518710136414,0.5776223540306091,0.5182795524597168,0.5367133021354675,0.8749558925628662,0.5806451439857483,0.1538461595773697
