date,open,high,low,close,adj_close,volume,ma5,ma20,ma_cross,return,volume_change,rsi14,bb_mid,bb_upper,bb_lower,bb_width,macd,signal,target
2010-02-01,6.870357036590576,7.0,6.83214282989502,6.9546427726745605,5.86012601852417,749876400,6.018117046356201,6.231360554695129,0,0.013901992794694396,-0.39815004168698576,38.18014524118132,6.231360554695129,6.62475785534509,5.837963254045169,0.12626369384244604,-0.07492666615420696,-0.041259706050387916,1
2010-02-02,6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.894132614135742,698342400,5.957448863983155,6.204050755500793,0,0.005803048518764786,-0.06872332560405958,40.70538587454988,6.204050755500793,6.6119349908511476,5.796166520150439,0.13148965133423698,-0.08078842570715583,-0.049239046406454184,1
2010-02-03,6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,5.99554967880249,615328000,5.905387496948242,6.181254959106445,0,0.017206444324568082,-0.11887349243007439,41.11151617341424,6.181254959106445,6.581812723810002,5.7806971944028875,0.12960402615764666,-0.07756135911492468,-0.054945615999678295,0
2010-02-04,7.026071071624756,7.084642887115479,6.841785907745361,6.85892915725708,5.779476165771484,757652000,5.861812019348145,6.152786421775818,0,-0.03603898301350794,0.2312977793957045,37.62113783739434,6.152786421775818,6.583025270304563,5.7225475732470725,0.13985170913979802,-0.08881871007427122,-0.06176046256837427,1
2010-02-05,6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.88209342956543,850306800,5.882275581359863,6.130035543441773,0,0.01775546102286718,0.12229202853024868,42.533150240106465,6.130035543441773,6.567299299856121,5.692771787027425,0.14266271486212018,-0.08945907979864387,-0.06732647074488433,0
2010-02-08,6.98892879486084,7.067142963409424,6.928571224212647,6.932857036590576,5.841768264770508,478270800,5.8786040306091305,6.103161859512329,0,-0.00685558046260093,-0.43753148863445523,33.22103981057013,6.103161859512329,6.5419996455439495,5.664324073480708,0.1438067008980443,-0.09170799587559397,-0.07222126779143673,1
2010-02-09,7.014999866485596,7.053571224212647,6.955357074737549,7.006785869598389,5.904064655303955,632886800,5.880590438842773,6.082216787338257,0,0.010663961271646594,0.32328128750490315,37.283225451754085,6.082216787338257,6.5168491749674065,5.647584399709107,0.14291907139316445,-0.08800968221067684,-0.07538852311713612,0
2010-02-10,6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,5.871862411499023,370361600,5.85585298538208,6.06325786113739,0,-0.00545424985751175,-0.4148059336993598,38.93356651878636,6.06325786113739,6.499958116415509,5.626557605859271,0.14404805643420196,-0.086382327238967,-0.07759261310409026,1
2010-02-11,6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,5.978695869445801,550345600,5.895696926116943,6.045231819152832,0,0.018194135090352725,0.4859683077295269,50.88907202275025,6.045231819152832,6.463337186738034,5.62712645156763,0.13832566892159134,-0.0764675163808679,-0.07736715766520379,1
2010-02-12,7.075356960296631,7.201428890228272,6.982142925262451,7.156428813934326,6.030155658721924,655468800,5.925309371948242,6.031614542007446,0,0.008607193006606728,0.19101306524482076,47.20555396252827,6.031614542007446,6.4317957162754995,5.631433367739393,0.1326945452103989,-0.06413283149808713,-0.07471619025841081,1
2010-02-16,7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,6.121037006378174,543737600,5.981163120269775,6.027807688713073,0,0.01507114456072145,-0.17045998222951264,47.36956799274304,6.027807688713073,6.422772096054953,5.632843281371194,0.13104744800715545,-0.047158546561919756,-0.06919783012014624,0
